provider,supplier_file,sheet,supplier_title,supplier_artist,matched_term,matched_identifier,match_type
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Segredo,João Nogueira,SEGREDO,T-039.611.383-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Anima,Milton Nascimento,ANIMA,T-039.497.775-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Travessia,Milton Nascimento,TRAVESSIA,T-313.642.509-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Identidade,Leci Brandão,IDENTIDADE,T-039.497.763-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tem Nada Não,Joyce Cândido,TEM NADA NAO,T-040.303.145-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Summertime,Rosinha De Valença,SUMMERTIME,T-317.793.940-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Summertime,Kat Edmonson,SUMMERTIME,T-317.793.940-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Segredo,João Nogueira,SEGREDO,T-039.611.383-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Pelas Ruas Da Cidade,Paulo César Pinheiro,PELAS RUAS DA CIDADE,T-325.057.705-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Onde Está Você,Tuyo,ONDE ESTA VOCE,T-040.271.868-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-301.572.557-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-302.809.006-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Banana,Joyce Moreno,BANANA,T-303.113.484-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tudo,Joyce Moreno,TUDO,T-301.718.723-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deja Vu,Day,DÉJÀ VU,T-308.187.765-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Máscara,Day,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Teto De Vidro,Day,TETO DE VIDRO,T-321.537.364-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Travessia,Milton Nascimento,TRAVESSIA,T-313.642.509-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,T-040.011.846-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Gigante,Ivete Sangalo,GIGANTE,GUSTAVO ZUCHOWSKI STROTTMANN,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Ivete Sangalo,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Beijinho No Ombro,Valesca Popozuda,BEIJINHO NO OMBRO,T-311.569.064-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Treme Treme,"As Gêmeas Lacração,Mc Loma",TREME TREME,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Esquema,Mia Wicthoff,ESQUEMA,T-319.876.005-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Esquema,Mia Wicthoff,ESQUEMA,T-318.043.291-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-301.572.557-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perigo,Tássia Reis,PERIGO,T-302.809.006-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Banana,Joyce Moreno,BANANA,T-303.113.484-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tudo,Joyce Moreno,TUDO,T-301.718.723-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deixa Eu Sonhar,Joelma,DEIXA EU SONHAR,T-040.000.420-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lágrimas De Sangue,Yasmin Mendes,LÁGRIMAS DE SANGUE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Ivete Sangalo,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Crucificados Pelo Sistema,Ratos Do Porão,CRUCIFICADOS PELO SISTEMA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentir Ódio E Nada Mais,Ratos De Porão,SENTIR ODIO E NADA MAIS,T-039.593.539-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deja Vu,Day,DÉJÀ VU,T-308.187.765-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Máscara,Day,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Teto De Vidro,Day,TETO DE VIDRO,T-321.537.364-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Travessia,Milton Nascimento,TRAVESSIA,T-313.642.509-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,T-040.011.846-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Felicidade,Seu Jorge,FELICIDADE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Final Feliz,Plateia: Márcia Rosa,FINAL FELIZ,T-315.996.147-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Beijinho No Ombro,Valesca Popozuda,BEIJINHO NO OMBRO,T-311.569.064-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Combate,"Aldair Playboy,Mc Wm",COMBATE,T-306.803.836-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Treme Treme,"As Gêmeas Lacração,Mc Loma",TREME TREME,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lugar Nenhum,Titãs,LUGAR NENHUM,T-304.311.961-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Desejo,Soweto,DESEJO,T-322.628.586-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Gratidão,Soweto,GRATIDÃO,T-305.217.523-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSAO,T-040.011.902-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSÃO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perfume,Soweto,PERFUME,T-305.215.262-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Te Quero,Soweto,TE QUERO,T-305.218.717-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Nocaute,"Monic, The",NOCAUTE,T-317.794.059-5,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Dèjá Vu,Selvagens À Procura Da Lei,DÉJÀ VU,T-308.187.765-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ghost,Secret Weapons,GHOST,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,T-040.011.846-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Final Feliz,Plateia: Márcia Rosa,FINAL FELIZ,T-315.996.147-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-315.799.145-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-316.180.981-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-326.766.166-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Treme Treme,"As Gêmeas Lacração,Mc Loma",TREME TREME,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Me Gusta,"Anitta,Cardi B,Myke Towers",ME GUSTA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Eu Vou Sentar,"Melody,Nattan",EU VOU SENTAR,T-305.267.256-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Acabou,Jammil E Uma Noites,ACABOU,T-039.497.780-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Medo,"Baggios, The",MEDO,T-039.497.778-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Medo,"Baggios, The",MEDO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Amora,Renato Teixeira,AMORA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deixa Eu Sonhar,Joelma,DEIXA EU SONHAR,T-040.000.420-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lágrimas De Sangue,Yasmin Mendes,LÁGRIMAS DE SANGUE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Ivete Sangalo,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,T-040.011.846-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Alvorada,Cartola,ALVORADA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Travessia,Milton Nascimento,TRAVESSIA,T-313.642.509-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Vamos Fugir,Gilberto Gil,VAMOS FUGIR,T-305.415.581-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Together,She & Him,TOGETHER,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Felicidade,Rita Lee,FELICIDADE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Monalisa,Jorge Vercillo,MONALISA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-315.799.145-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-316.180.981-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-326.766.166-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Mulher Rendeira,Trio Nordestino,MULHER RENDEIRA,T-039.167.658-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Eu Vou Sentar,"Melody,Nattan",EU VOU SENTAR,T-305.267.256-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Acabou,Jammil E Uma Noites,ACABOU,T-039.497.780-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Medo,"Baggios, The",MEDO,T-039.497.778-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Medo,"Baggios, The",MEDO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sideral,My Magical Glowing Lens,SIDERAL,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Amora,Renato Teixeira,AMORA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Desejo,Soweto,DESEJO,T-322.628.586-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Gratidão,Soweto,GRATIDÃO,T-305.217.523-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSAO,T-040.011.902-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSÃO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perfume,Soweto,PERFUME,T-305.215.262-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Te Quero,Soweto,TE QUERO,T-305.218.717-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Banda Lady Night,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Felicidade,Rita Lee,FELICIDADE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Mulher Rendeira,Trio Nordestino,MULHER RENDEIRA,T-039.167.658-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-315.799.145-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-316.180.981-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-326.766.166-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sideral,My Magical Glowing Lens,SIDERAL,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Cuidado,Tuyo,CUIDADO,T-317.794.225-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Cuidado,Tuyo,CUIDADO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deixa Eu Sonhar,Joelma,DEIXA EU SONHAR,T-040.000.420-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lágrimas De Sangue,Yasmin Mendes,LÁGRIMAS DE SANGUE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Ivete Sangalo,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lua,Nilson Neto,LUA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Essa É Pra Você,Arthur Espindola,ESSA É PRA VOCE,T-040.048.737-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Vermelho,Chico Da Silva,VERMELHO,T-313.315.106-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Count On Me,Bruno Mars,COUNT ON ME,T-320.126.127-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Felicidade,Rita Lee,FELICIDADE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Outdoor,"Inspirasom,Rodrigo Sant'anna",OUTDOOR,T-301.719.331-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,"Felipe Original,Js,Pedro Sampaio",SENTADÃO,T-303.014.916-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,"Felipe Original,Js,Pedro Sampaio",SENTADÃO,T-304.715.440-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,"Felipe Original,Js,Pedro Sampaio",SENTADÃO,T-325.955.974-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Mulher Rendeira,Trio Nordestino,MULHER RENDEIRA,T-039.167.658-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Kamasutra,Lauana Prado,KAMASUTRA,T-305.217.338-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baobá,Caio Prado,BAOBA,T-303.385.332-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Cuidado,Tuyo,CUIDADO,T-317.794.225-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Cuidado,Tuyo,CUIDADO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Quem Sabe,"Beatriz Rabello,Paulinho Da Viola",QUEM SABE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Deixa Eu Sonhar,Joelma,DEIXA EU SONHAR,T-040.000.420-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lágrimas De Sangue,Yasmin Mendes,LÁGRIMAS DE SANGUE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Macetando,Ivete Sangalo,MACETANDO,T-318.000.000-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-315.799.145-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-316.180.981-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-326.766.166-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sem Filtro,Iza,SEM FILTRO,T-335.572.263-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Desejo,Soweto,DESEJO,T-322.628.586-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Gratidão,Soweto,GRATIDÃO,T-305.217.523-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSAO,T-040.011.902-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSÃO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perfume,Soweto,PERFUME,T-305.215.262-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Te Quero,Soweto,TE QUERO,T-305.218.717-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Lua,Nilson Neto,LUA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Proposta,Pepê,PROPOSTA,T-313.413.810-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Essa É Pra Você,Arthur Espindola,ESSA É PRA VOCE,T-040.048.737-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Vermelho,Chico Da Silva,VERMELHO,T-313.315.106-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Aurora,Aurora Miranda,AURORA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,Pedro Sampaio,SENTADÃO,T-303.014.916-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,Pedro Sampaio,SENTADÃO,T-304.715.440-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,Pedro Sampaio,SENTADÃO,T-325.955.974-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Felicidade,Rita Lee,FELICIDADE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Outdoor,"Inspirasom,Rodrigo Sant'anna",OUTDOOR,T-301.719.331-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Malandramente,"Dennis Dj,Nandinho,Nego Bam",MALANDRAMENTE,T-308.115.009-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Terremoto,"Anitta,Mc Kevinho",TERREMOTO,T-307.297.647-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Beijinho No Ombro,Andy Gercker,BEIJINHO NO OMBRO,T-311.569.064-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Kamasutra,Lauana Prado,KAMASUTRA,T-305.217.338-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ela,"Ferrugem,Sorriso Maroto",ELA,T-322.696.235-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,São Paulo,"Anitta,Weeknd, The",SÃO PAULO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-315.799.145-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-316.180.981-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-326.766.166-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baobá,Caio Prado,BAOBA,T-303.385.332-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Medo,"Baggios, The",MEDO,T-039.497.778-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Medo,"Baggios, The",MEDO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sideral,My Magical Glowing Lens,SIDERAL,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Cuidado,Tuyo,CUIDADO,T-317.794.225-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Cuidado,Tuyo,CUIDADO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Quem Sabe,"Beatriz Rabello,Paulinho Da Viola",QUEM SABE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Amora,Renato Teixeira,AMORA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Desejo,Soweto,DESEJO,T-322.628.586-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Gratidão,Soweto,GRATIDÃO,T-305.217.523-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSAO,T-040.011.902-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ilusão,Soweto,ILUSÃO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perfume,Soweto,PERFUME,T-305.215.262-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Te Quero,Soweto,TE QUERO,T-305.218.717-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Luz,Djavan,LUZ,T-040.285.617-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Luz,Djavan,LUZ,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Luz,Djavan,LUZ,T-040.279.887-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Socadona,Preta Gil,SOCADONA,T-305.217.548-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Socadona,Preta Gil,SOCADONA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Felicidade,Rita Lee,FELICIDADE,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-315.799.145-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-316.180.981-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Brisa,Iza,BRISA,T-326.766.166-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Fuleragem,Mc Wm,FULERAGEM,T-305.214.250-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,"Felipe Original,Js,Pedro Sampaio",SENTADÃO,T-303.014.916-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,"Felipe Original,Js,Pedro Sampaio",SENTADÃO,T-304.715.440-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sentadão,"Felipe Original,Js,Pedro Sampaio",SENTADÃO,T-325.955.974-1,title_only
